Test 1: Agreement 94.44%, Disagreement 5.56%
Test 2: Agreement 91.30%, Disagreement 8.70%
Test 3: Agreement 92.31%, Disagreement 7.69%
Test 4: Agreement 65.62%, Disagreement 34.38%
Test 5: Agreement 84.62%, Disagreement 15.38%
Test 6: Agreement 88.00%, Disagreement 12.00%
Test 7: Agreement 100.00%, Disagreement 0.00%
Test 8: Agreement 80.00%, Disagreement 20.00%
Test 9: Agreement 96.67%, Disagreement 3.33%
Test 10: Agreement 100.00%, Disagreement 0.00%
Test 11: Agreement 88.89%, Disagreement 11.11%
Test 12: Agreement 86.67%, Disagreement 13.33%
Test 13: Agreement 89.66%, Disagreement 10.34%
Test 14: Agreement 100.00%, Disagreement 0.00%
Test 15: Agreement 96.43%, Disagreement 3.57%
Test 16: Agreement 96.30%, Disagreement 3.70%
Test 17: Agreement 84.62%, Disagreement 15.38%
Test 18: Agreement 97.22%, Disagreement 2.78%
Test 19: Agreement 71.43%, Disagreement 28.57%
Test 20: Agreement 97.22%, Disagreement 2.78%
Test 21: Agreement 84.62%, Disagreement 15.38%
Test 22: Agreement 93.33%, Disagreement 6.67%
Test 23: Agreement 93.75%, Disagreement 6.25%
Test 24: Agreement 86.96%, Disagreement 13.04%
Test 25: Agreement 84.62%, Disagreement 15.38%
Test 26: Agreement 79.17%, Disagreement 20.83%
Test 27: Agreement 95.45%, Disagreement 4.55%
Test 28: Agreement 80.00%, Disagreement 20.00%
Test 29: Agreement 81.82%, Disagreement 18.18%
Test 30: Agreement 68.75%, Disagreement 31.25%
Test 31: Agreement 93.33%, Disagreement 6.67%
Test 32: Agreement 96.15%, Disagreement 3.85%
Test 33: Agreement 82.35%, Disagreement 17.65%
Test 34: Agreement 83.87%, Disagreement 16.13%
Test 35: Agreement 68.42%, Disagreement 31.58%
Test 36: Agreement 82.14%, Disagreement 17.86%
Test 37: Agreement 100.00%, Disagreement 0.00%
Test 38: Agreement 85.71%, Disagreement 14.29%
Test 39: Agreement 95.45%, Disagreement 4.55%
Test 40: Agreement 90.00%, Disagreement 10.00%
Test 41: Agreement 92.00%, Disagreement 8.00%
Test 42: Agreement 39.39%, Disagreement 60.61%
Test 43: Agreement 92.86%, Disagreement 7.14%
Test 44: Agreement 90.00%, Disagreement 10.00%
Test 45: Agreement 88.89%, Disagreement 11.11%
Test 46: Agreement 100.00%, Disagreement 0.00%
Test 47: Agreement 78.79%, Disagreement 21.21%
Test 48: Agreement 78.57%, Disagreement 21.43%
Test 49: Agreement 78.95%, Disagreement 21.05%
Test 50: Agreement 86.36%, Disagreement 13.64%
